USGSID,Well  Name,OBJECTID,LABNO,TOPFT,BOTFT,,Member,Member Top,County,1/41/4,EW,NS,RNG,SEC,TWP,Latitude,Longitude,SHLOILPCT,WATERPCT,SHLRSDPCT,GASPLSPCT,OILGPT,WATERGPT,SPCFGRAV,COKETEND,INTVL,INTXOIL,WELLNAME,COREDEP_FT,7_5_QUAD,CORE2,FISCHASSAY_FT,ASSAYLAB,NUMB_ASSAYS,LOCATNOTE,USBMNO,XRD,MISCNOTE,,WKPKISOP,TIPTISOP,LCWPTPISOP
W0080,BF1,17873,7910037,459.9,461,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.6,0.8,95.1,1.5,6.9,1.9,0.914,1,1.1,7.59,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17874,7910038,461,462,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.3,1,95.2,1.5,6.1,2.4,0.914,1,1,6.1,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17875,7910039,462,463,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.6,0.9,94.8,1.7,6.7,2.2,0.916,1,1,6.7,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17876,7910040,463,464,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.5,0.9,96.5,1.1,3.9,2.2,0,1,1,3.9,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17877,7910041,464,465,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.4,1,95.6,2,3.7,2.4,0,1,1,3.7,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17878,7910042,465,466.8,1.8,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.7,3.6,94.7,1,1.8,8.6,0,1,1.8,3.24,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17879,7910043,466.8,467.4,0.6,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.1,2.2,96.5,1.2,0.3,5.3,0,1,0.6,0.18,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17880,7910044,467.4,468.6,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.9,3.1,95.1,0.9,2.2,7.4,0,1,1.2,2.64,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17881,7910045,468.6,469.7,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.7,2.1,96.2,1,1.9,5,0,1,1.1,2.09,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17882,7910046,469.7,470.8,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.8,1,97.4,0.8,2,2.4,0,1,1.1,2.2,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17883,7910047,470.8,471.8,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.8,0.9,97.1,1.2,2.2,2.2,0,1,1,2.2,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17884,7910048,471.8,472.8,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.7,0.9,97.6,0.8,1.9,2.2,0,1,1,1.9,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17885,7910049,472.8,474,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.8,1.3,95.7,1.2,4.6,3.1,0,1,1.2,5.52,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17886,7910050,474,475,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,3,1.5,93.7,1.8,7.9,3.6,0.911,1,1,7.9,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17887,7910051,475,476,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.9,1.5,93.5,2.1,7.7,3.6,0.909,1,1,7.7,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17888,7910052,476,477,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,3.7,1.5,93,1.8,9.7,3.6,0.909,1,1,9.7,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17889,7910053,477,478,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,3.2,1.2,93.6,2,8.5,2.9,0.91,1,1,8.5,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17890,7910054,478,479.2,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.8,1.6,93.9,1.7,7.4,3.8,0.913,1,1.2,8.88,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17891,7910055,479.2,480.6,1.4,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,5.5,1.6,90.7,2.2,14.6,3.8,0.904,1,1.4,20.44,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17892,7910056,480.6,481.6,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,7.8,1.5,88,2.7,20.7,3.6,0.901,1,1,20.7,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17893,7910057,481.6,482.6,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,6.4,1.5,89.5,2.6,17,3.6,0.905,1,1,17,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17894,7910058,482.6,483.6,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,4.2,1.5,92.3,2,11.2,3.6,0.912,1,1,11.2,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17895,7910059,483.6,485,1.4,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.7,1.4,94.5,1.4,7,3.4,0.917,1,1.4,9.8,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17896,7910060,485,486.5,1.5,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.3,1.3,95,1.4,6.1,3.1,0.918,1,1.5,9.15,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17897,7910061,486.5,487.8,1.3,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,6.6,1.4,89.4,2.6,17.5,3.4,0.91,1,1.3,22.75,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17898,7910062,487.8,489,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,8.1,1.4,88,2.5,21.4,3.4,0.908,1,1.2,25.68,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17899,7910063,489,490.2,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,4.9,1.3,91.7,2.1,12.9,3.1,0.909,1,1.2,15.48,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17900,7910064,490.2,491.3,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,0.8,2.9,95.5,0.8,2,7,0,1,1.1,2.2,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17901,7910065,491.3,492.3,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.5,0.7,96.1,1.7,3.8,1.7,0,1,1,3.8,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17902,7910066,492.3,493.3,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.2,0.9,97.1,0.8,3,2.2,0,1,1,3,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17903,7910067,493.3,494.5,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.7,0.9,96.4,1,4.4,2.2,0,1,1.2,5.28,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17904,7910068,494.5,496,1.5,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.2,1.2,95.2,1.4,5.8,2.9,0.92,1,1.5,8.7,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17905,7910069,496,497,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,6.3,1.4,89.6,2.7,16.6,3.4,0.915,1,1,16.6,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17906,7910070,497,498,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,10.4,1.6,84,4,27.3,3.8,0.911,1,1,27.3,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17907,7910071,498,499,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,9.6,1.6,85.1,3.7,25.3,3.8,0.91,1,1,25.3,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17908,7910072,499,500,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,8.1,1.6,87.1,3.2,21.5,3.8,0.906,1,1,21.5,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17909,7910073,500,501,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,5.4,1.3,90.9,2.4,14.2,3.1,0.911,1,1,14.2,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17910,7910074,501,502.1,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.8,0.9,94.3,2,7.4,2.2,0.916,1,1.1,8.14,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17911,7910075,502.1,503.3,1.2,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,4,1.1,93.1,1.8,10.6,2.6,0.914,1,1.2,12.72,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17912,7910076,503.3,504.4,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,4.3,1.1,92.6,2,11.4,2.6,0.913,1,1.1,12.54,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17913,7910077,504.4,505.5,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2,1.3,95.2,1.5,5.2,3.1,0.92,1,1.1,5.72,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17914,7910078,505.5,506.6,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.1,1.3,96.5,1.1,2.9,3.1,0,1,1.1,3.19,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17915,7910079,506.6,507.7,1.1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.7,0.9,96.1,1.3,4.5,2.2,0,1,1.1,4.95,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17916,7910080,507.7,508.7,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.7,0.9,96.1,1.3,4.3,2.2,0,1,1,4.3,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17917,7910081,508.7,509.7,1,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,2.5,0.9,95.3,1.3,6.5,2.2,0.91,1,1,6.5,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17918,7910082,509.7,511.2,1.5,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,6.1,1.2,90.5,2.2,16.1,2.9,0.907,1,1.5,24.15,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17919,7910083,511.2,512.1,0.9,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.9,1.4,95.5,1.2,5.1,3.4,0,1,0.9,4.59,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
W0080,BF1,17920,7910084,512.1,512.9,0.8,Wilkins Peak,447.3,Sweetwater,SE NE,861 FEL,3683 FSL,108 W,24,16 N,41.35650606,-109.5249519,1.4,1.4,96.1,1.1,3.7,3.4,0,1,0.8,2.96,BF1,181 1677,Halfway Hollow East,USGS Core Research Center,0 1677,"Laramie, 1976",1108,,500,,"Lith by Trudell, 1979. Tops: Wilkins Pk=447, Tipton=1510, Wasatch=1672",,1063.1,161,1449.9
